Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",635.1881621,635.1881621,1/1/2013,Dedicated Taxes and Subsidies,Urban Tax,Dedicated Taxes and Subsidies,2013,635.1881621
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,260.8549775,260.8549775,1/1/2014,Toll Revenue,B&T Operating Surplus,Toll Revenue,2014,260.8549775
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,949.898,949.898,1/1/2014,Fare Revenue,Bus,Fare Revenue,2014,949.898
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,235.118,235.118,1/1/2014,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2014,235.118
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,0,0,1/1/2014,Fare Revenue,Fare Increase 2021,Fare Revenue,2014,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,53.391,53.391,1/1/2014,Fare Revenue,Fare Media Liability,Fare Revenue,2014,53.391
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",84.016,84.016,1/1/2014,Other Operating Revenue,Fare Reimbursement,Other Operating Revenue,2014,84.016
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2014,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2014,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",158.1841853,158.1841853,1/1/2014,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2014,158.1841853
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",226.1,226.1,1/1/2014,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2014,226.1
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",994.4349608,994.4349608,1/1/2014,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2014,994.4349608
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",37.59904395,37.59904395,1/1/2014,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2014,37.59904395
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2014,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2014,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2014,Dedicated Taxes and Subsidies,NYC Operating Support for SAP,Dedicated Taxes and Subsidies,2014,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2014,Dedicated Taxes and Subsidies,NYS Operating Support for SAP,Dedicated Taxes and Subsidies,2014,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",174.846,174.846,1/1/2014,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2014,174.846
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,15.957,15.957,1/1/2014,Fare Revenue,Paratransit,Fare Revenue,2014,15.957
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",178.139,178.139,1/1/2014,Other Operating Revenue,Paratransit Reimbursement,Other Operating Revenue,2014,178.139
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",895.8,895.8,1/1/2014,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2014,895.8
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",223.3,223.3,1/1/2014,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2014,223.3
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",560.5741071,560.5741071,1/1/2014,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2014,560.5741071
